id,t1_h,t1_min,t2,t3_h,t3_min,t4_1,t4_2,t5_a,t5_b,t5_c,t5_d,t5_e,t5_f,t5_g,t5_h,t5_i,t5_j,t6,t7,t8,t9
124.00 ,2.00 ,0.00 ,120.00 ,8.00 ,0.00 ,7.00 ,0.00 ,4.00 ,5.00 ,4.00 ,3.00 ,4.00 ,3.00 ,4.00 ,3.00 ,2.00 ,2.00 ,5.00 ,2.00 ,5.00 ,5.00 
125.00 ,11.00 ,0.00 ,10.00 ,8.00 ,30.00 ,9.00 ,0.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,3.00 
126.00 ,1.00 ,22.00 ,60.00 ,10.00 ,22.00 ,8.00 ,0.00 ,5.00 ,3.00 ,2.00 ,2.00 ,2.00 ,5.00 ,2.00 ,3.00 ,2.00 ,2.00 ,3.00 ,2.00 ,5.00 ,5.00 
127.00 ,0.00 ,0.00 ,20.00 ,11.00 ,0.00 ,9.00 ,0.00 ,2.00 ,5.00 ,3.00 ,2.00 ,5.00 ,2.00 ,5.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,5.00 ,3.00 
128.00 ,1.00 ,0.00 ,20.00 ,11.00 ,0.00 ,10.00 ,0.00 ,4.00 ,2.00 ,4.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,4.00 ,2.00 ,3.00 ,2.00 
129.00 ,11.00 ,10.00 ,20.00 ,7.00 ,10.00 ,6.00 ,1.00 ,3.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,5.00 ,5.00 ,2.00 ,2.00 ,3.00 ,2.00 ,3.00 ,3.00 
130.00 ,12.00 ,0.00 ,20.00 ,8.00 ,30.00 ,6.00 ,0.00 ,2.00 ,5.00 ,4.00 ,3.00 ,2.00 ,3.00 ,4.00 ,4.00 ,3.00 ,2.00 ,4.00 ,2.00 ,5.00 ,3.00 
131.00 ,22.00 ,30.00 ,10.00 ,8.00 ,30.00 ,8.00 ,0.00 ,3.00 ,3.00 ,2.00 ,5.00 ,2.00 ,2.00 ,2.00 ,2.00 ,5.00 ,3.00 ,3.00 ,3.00 ,5.00 ,5.00 
132.00 ,23.00 ,30.00 ,30.00 ,8.00 ,30.00 ,7.00 ,30.00 ,2.00 ,3.00 ,3.00 ,3.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 
133.00 ,2.00 ,0.00 ,5.00 ,11.00 ,50.00 ,8.00 ,30.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 
134.00 ,3.00 ,0.00 ,2.00 ,11.00 ,0.00 ,8.00 ,0.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,5.00 ,5.00 
135.00 ,3.00 ,30.00 ,5.00 ,12.00 ,30.00 ,9.00 ,0.00 ,3.00 ,3.00 ,4.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,5.00 ,5.00 
136.00 ,22.00 ,30.00 ,20.00 ,8.00 ,0.00 ,6.00 ,30.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,3.00 ,2.00 ,3.00 ,3.00 ,3.00 ,3.00 
137.00 ,1.00 ,0.00 ,90.00 ,10.00 ,30.00 ,8.00 ,0.00 ,2.00 ,2.00 ,5.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,3.00 ,2.00 ,3.00 ,3.00 
138.00 ,10.00 ,0.00 ,30.00 ,10.00 ,0.00 ,10.00 ,0.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,2.00 ,4.00 
